scale_factor,time_s,state_of_charge,power_fraction_of_rated
0.5,37944.0,1.269562216278473e-06,1.6892331534990034e-05
0.5,38016.0,1.203501395470264e-06,1.60366505937759e-05
0.5,38088.0,1.14079198108222e-06,1.5223077079440371e-05
0.5,38160.0,1.0812687722148759e-06,1.4449607053279577e-05
0.5,38232.0,1.0247744453031966e-06,1.371432825791885e-05
0.5,38304.0,9.711591927263692e-07,1.3015416119088739e-05
0.5,38376.0,9.202803776356033e-07,1.2351129912957503e-05
0.5,38448.0,8.720022036670344e-07,1.1719809087651354e-05
0.5,38520.0,8.261953989720497e-07,1.1119869738962506e-05
0.5,38592.0,7.827369146177228e-07,1.0549801234560617e-05
0.5,38664.0,7.41509636078973e-07,1.0008162972496848e-05
0.5,38736.0,7.024021075019667e-07,9.493581281105888e-06
0.5,38808.0,6.653082681534482e-07,9.004746445384624e-06
0.5,38880.0,6.301272007709243e-07,8.540409854163044e-06
0.5,38952.0,5.967628912107403e-07,8.099381285120442e-06
0.5,39024.0,5.651239983626518e-07,7.680526277198396e-06
0.5,39096.0,5.351236351844973e-07,7.28276363801683e-06
0.5,39168.0,5.066791586892542e-07,6.905063041529047e-06
0.5,39240.0,4.7971197014599e-07,6.546442742916269e-06
0.5,39312.0,4.541473240203958e-07,6.2059673759051744e-06
0.5,39384.0,4.299141452990257e-07,5.88274585524573e-06
0.5,39456.0,4.069448558911451e-07,5.575929363743625e-06
0.5,39528.0,3.851752077443867e-07,5.2847094316632586e-06
0.5,39600.0,3.645441246825059e-07,5.008316090737707e-06
0.5,39672.0,3.4499355090435223e-07,4.746016119838714e-06
0.5,39744.0,3.264683068716711e-07,4.497111351753346e-06
0.5,39816.0,3.0891595100634737e-07,4.260937073041759e-06
0.5,39888.0,2.922866484565806e-07,4.036860475764569e-06
0.5,39960.0,2.7653304588514724e-07,3.824279188080482e-06
0.5,40032.0,2.6161015167535646e-07,3.6226198659505825e-06
0.5,40104.0,2.4747522210528405e-07,3.4313368452387746e-06
0.5,40176.0,2.3408765238911508e-07,3.2499108598926792e-06
0.5,40248.0,2.2140887326080632e-07,3.0778478077309046e-06
0.5,40320.0,2.0940225189163148e-07,2.9146775801791587e-06
0.5,40392.0,1.9803299779919658e-07,2.759952938902188e-06
0.5,40464.0,1.8726807317967658e-07,2.613248439331528e-06
0.5,40536.0,1.7707610700562555e-07,2.474159414589394e-06
