hour,heat_demand_mw,price_eur_per_mwh,p_ch_mw,p_dis_mw,level_mwh,elec_to_heater_mw,heater_heat_mw,boiler_heat_mw,unmet_heat_mw,electricity_cost_eur,fuel_cost_eur,carbon_cost_eur,penalty_cost_eur,emissions_tco2,heat_balance_residual_mw
4795,10.0,88.93532043799334,0.0,0.9340349538529985,0.0,0.0,0.0,9.065965046147001,0.0,0.0,362.63860184588003,146.50599514573554,0.0,1.8313249393216944,0.0
4796,10.0,97.80131625533414,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
4797,10.0,82.92255889411373,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
4798,10.0,75.91655462789336,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
4799,10.0,66.96713945219733,0.0,-0.0,-0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
4800,10.0,70.41193173542865,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
4801,10.0,53.698025465863,0.0,0.0,-0.0,10.1010101010101,10.0,0.0,0.0,542.4042976349797,0.0,0.0,0.0,0.0,0.0
4802,10.0,56.70163623327714,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
4803,10.0,50.11218388452486,0.0,0.0,-0.0,10.1010101010101,10.0,0.0,0.0,506.1836756012612,0.0,0.0,0.0,0.0,0.0
4804,10.0,43.58608598501739,4.85,0.0,4.607499999999999,15.0,14.85,0.0,0.0,653.7912897752609,0.0,0.0,0.0,0.0,0.0
4805,10.0,37.08752166678433,4.85,0.0,9.212696249999999,15.0,14.85,0.0,0.0,556.312825001765,0.0,0.0,0.0,0.0,0.0
4806,10.0,46.29816642513326,4.85,0.0,13.815589901874997,15.0,14.85,0.0,0.0,694.472496376999,0.0,0.0,0.0,0.0,0.0
4807,10.0,35.40001110154432,4.85,0.0,18.416182106924058,15.0,14.85,0.0,0.0,531.0001665231648,0.0,0.0,0.0,0.0,0.0
4808,10.0,45.07390182936311,4.85,0.0,23.014474015870594,15.0,14.85,0.0,0.0,676.1085274404467,0.0,0.0,0.0,0.0,0.0
4809,10.0,41.471263916224544,4.85,0.0,27.61046677886266,15.0,14.85,0.0,0.0,622.0689587433682,0.0,0.0,0.0,0.0,0.0
4810,10.0,49.19732369776972,4.85,0.0,32.20416154547323,15.0,14.85,0.0,0.0,737.9598554665458,0.0,0.0,0.0,0.0,0.0
4811,10.0,45.23963761122435,4.85,0.0,36.795559464700496,15.0,14.85,0.0,0.0,678.5945641683653,0.0,0.0,0.0,0.0,0.0
4812,10.0,56.145370597857706,0.0,4.849999999999998,31.671898527073417,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
4813,10.0,60.316576478158346,0.0,4.849999999999998,26.550799419915144,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
4814,10.0,65.50390227965238,0.0,4.849999999999998,21.43226086231045,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
4815,10.0,66.48770537468118,0.0,4.849999999999998,16.31628157398456,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
4816,10.0,78.27853752752043,0.0,4.849999999999998,11.202860275302834,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
4817,10.0,92.81849814808194,0.0,4.849999999999998,6.091995687270449,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
4818,10.0,93.24369561393672,0.0,4.849999999999998,0.9836865315320802,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
4819,10.0,84.37080665126031,0.0,0.9340349538529985,0.0,0.0,0.0,9.065965046147001,0.0,0.0,362.63860184588003,146.50599514573554,0.0,1.8313249393216944,0.0
4820,10.0,93.91739565944067,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
4821,10.0,82.62815956680731,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
4822,10.0,73.70723369969906,0.0,-0.0,-0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
4823,10.0,72.24952079085787,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
4824,10.0,48.34538228596183,0.0,-0.0,0.0,10.1010101010101,10.0,0.0,0.0,488.33719480769525,0.0,0.0,0.0,0.0,0.0
4825,10.0,44.69586666978877,0.0,-0.0,0.0,10.1010101010101,10.0,0.0,0.0,451.47340070493703,0.0,0.0,0.0,0.0,0.0
4826,10.0,38.203800002194306,0.0,-0.0,0.0,10.1010101010101,10.0,0.0,0.0,385.8969697191344,0.0,0.0,0.0,0.0,0.0
4827,10.0,33.381783418897676,4.85,0.0,4.607499999999999,15.0,14.85,0.0,0.0,500.72675128346515,0.0,0.0,0.0,0.0,0.0
4828,10.0,31.839947111539075,4.85,0.0,9.212696249999999,15.0,14.85,0.0,0.0,477.59920667308614,0.0,0.0,0.0,0.0,0.0
4829,10.0,27.3298602584518,4.85,0.0,13.815589901874997,15.0,14.85,0.0,0.0,409.947903876777,0.0,0.0,0.0,0.0,0.0
4830,10.0,21.58296406366842,4.85,0.0,18.416182106924058,15.0,14.85,0.0,0.0,323.7444609550263,0.0,0.0,0.0,0.0,0.0
4831,10.0,24.071946104286717,4.85,0.0,23.014474015870594,15.0,14.85,0.0,0.0,361.07919156430074,0.0,0.0,0.0,0.0,0.0
4832,10.0,25.14555592249253,4.85,0.0,27.61046677886266,15.0,14.85,0.0,0.0,377.18333883738796,0.0,0.0,0.0,0.0,0.0
4833,10.0,25.300929290400223,4.85,0.0,32.20416154547323,15.0,14.85,0.0,0.0,379.51393935600333,0.0,0.0,0.0,0.0,0.0
4834,10.0,31.223618742060047,4.85,0.0,36.795559464700496,15.0,14.85,0.0,0.0,468.3542811309007,0.0,0.0,0.0,0.0,0.0
4835,10.0,33.78981820837146,0.019366083928785752,0.0,36.795559464700496,10.120571801948268,10.019366083928785,0.0,0.0,341.9722813526023,0.0,0.0,0.0,0.0,-2.8102520310824275e-16
4836,10.0,35.252148114304546,0.019366083928785752,0.0,36.795559464700496,10.120571801948268,10.019366083928785,0.0,0.0,356.77189616373437,0.0,0.0,0.0,0.0,-2.8102520310824275e-16
4837,10.0,46.528122013133405,0.0,0.0,36.77716168496815,10.1010101010101,10.0,0.0,0.0,469.9810304356909,0.0,0.0,0.0,0.0,0.0
4838,10.0,45.211895670502784,0.038722484815610275,0.0,36.795559464700496,10.14012372203597,10.03872248481561,0.0,0.0,458.4542158066806,0.0,0.0,0.0,0.0,-4.718447854656915e-16
4839,10.0,51.6358299911626,0.0,0.9203016232670855,35.80842313416069,9.171412501750417,9.079698376732914,0.0,0.0,473.5734967192078,0.0,0.0,0.0,0.0,0.0
4840,10.0,53.99318173166638,0.0,4.849999999999998,30.68525576469888,5.202020202020204,5.150000000000002,0.0,0.0,280.87362213947677,0.0,0.0,0.0,0.0,0.0
4841,10.0,54.5872956370983,0.0,4.849999999999998,25.5646499789218,5.202020202020204,5.150000000000002,0.0,0.0,283.9642146778347,0.0,0.0,0.0,0.0,0.0
4842,10.0,60.865577530171144,0.0,4.849999999999998,20.446604496037605,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
4843,10.0,60.36739150814047,0.0,4.849999999999998,15.331118035894853,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
4844,10.0,61.477583408414304,0.0,4.849999999999998,10.218189318982173,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
4845,10.0,63.8646865730504,0.0,4.849999999999998,5.107817066427948,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
4846,10.0,54.64182631368355,0.0,4.849999999999998,0.0,5.202020202020204,5.150000000000002,0.0,0.0,284.247884359061,0.0,0.0,0.0,0.0,0.0
4847,10.0,50.056467911511746,0.0,-0.0,0.0,10.1010101010101,10.0,0.0,0.0,505.62088799506813,0.0,0.0,0.0,0.0,0.0
4848,10.0,36.51367682948659,4.85,0.0,4.607499999999999,15.0,14.85,0.0,0.0,547.7051524422989,0.0,0.0,0.0,0.0,0.0
4849,10.0,43.88282400516775,0.0,4.3749364375,0.0,5.681882386363637,5.6250635625,0.0,0.0,249.33704477885803,0.0,0.0,0.0,0.0,0.0
4850,10.0,35.175833291030614,0.0,-0.0,0.0,10.1010101010101,10.0,0.0,0.0,355.3114473841476,0.0,0.0,0.0,0.0,0.0
4851,10.0,30.655952900054817,0.0,0.0,-0.0,10.1010101010101,10.0,0.0,0.0,309.6560898995436,0.0,0.0,0.0,0.0,0.0
4852,10.0,27.645997109393274,4.85,0.0,4.607499999999999,15.0,14.85,0.0,0.0,414.68995664089914,0.0,0.0,0.0,0.0,0.0
